timestamp,source_ip,destination_ip,hostname,user,event_type,process,domain,action
2026-08-26 08:00:01,10.0.0.11,10.0.0.1,HOST-01,user1,network,,,connection
2026-08-26 08:01:12,10.0.0.12,10.0.0.1,HOST-02,user2,dns,,company.local,query
2026-08-26 08:02:30,10.0.0.13,10.0.0.1,HOST-03,user3,network,,,connection
2026-08-26 08:03:45,10.0.0.14,10.0.0.1,HOST-04,user4,dns,,company.local,query
2026-08-26 08:05:10,10.0.0.15,10.0.0.1,HOST-05,user5,network,,,connection
2026-08-26 08:06:22,10.0.0.16,10.0.0.1,HOST-06,user6,dns,,company.local,query
2026-08-26 08:07:35,10.0.0.18,10.0.0.1,HOST-08,user8,network,,,connection
2026-08-26 08:08:48,10.0.0.19,10.0.0.1,HOST-09,user9,dns,,company.local,query
2026-08-26 08:10:05,10.0.0.20,10.0.0.1,HOST-10,user10,network,,,connection
2026-08-26 09:01:10,185.22.10.5,10.0.0.17,HOST-07,user7,network,,,external_connection
2026-08-26 09:01:45,10.0.0.17,8.8.8.8,HOST-07,user7,dns,,suspicious-example.test,query
2026-08-26 09:02:30,10.0.0.17,10.0.0.17,HOST-07,user7,process,powershell.exe,,execute
2026-08-26 09:03:15,10.0.0.17,185.22.10.5,HOST-07,user7,network,,,outbound_connection
2026-08-26 09:04:20,10.0.0.17,10.0.0.20,HOST-07,user7,network,,,internal_connection
2026-08-26 09:05:05,10.0.0.17,10.0.0.17,HOST-07,user7,file,powershell.exe,,create
2026-08-26 09:06:12,10.0.0.17,10.0.0.20,HOST-07,user7,network,,,internal_connection
2026-08-26 09:07:28,10.0.0.17,10.0.0.20,HOST-07,user7,process,cmd.exe,,execute
2026-08-26 09:08:44,10.0.0.17,10.0.0.20,HOST-07,user7,file,cmd.exe,,modify
2026-08-26 09:10:01,10.0.0.11,10.0.0.1,HOST-01,user1,network,,,connection
2026-08-26 09:11:16,10.0.0.12,10.0.0.1,HOST-02,user2,dns,,company.local,query
